Date,YoYUKExpAbroad,YOYOSExuk
Jan 2015,0.007,-0.052
Feb 2015,-0.026,-0.113
Mar 2015,0.137,0.086
Apr 2015,0.066,0.059
May 2015,0.050,0.110
Jun 2015,0.103,0.038
Jul 2015,0.250,-0.088
Aug 2015,0.102,-0.038
Sep 2015,0.073,0.033
Oct 2015,0.035,0.109
Nov 2015,0.185,-0.038
Dec 2015,0.181,0.038
Jan 2016,0.023,-0.039
Feb 2016,0.174,0.023
Mar 2016,0.036,-0.063
Apr 2016,0.203,0.044
May 2016,0.089,-0.026
Jun 2016,0.081,-0.047
Jul 2016,-0.003,0.023
Aug 2016,0.130,0.063
Sep 2016,0.165,-0.053
Oct 2016,0.149,-0.093
