Date,Holiday,Business,VisitingFriendsOrRelatives,Miscellaneous
20150101,663,689,899,168
20150201,640,672,627,160
20150301,856,689,676,210
20150401,1392,680,908,174
20150501,1584,862,888,244
20150601,1381,851,795,223
20150701,1657,730,1016,308
20150801,1726,528,1198,257
20150901,1108,816,844,313
20151001,1225,904,958,367
20151101,816,787,818,227
20151201,810,657,822,291
20160101,764,572,1032,206
20160201,649,767,706,172
20160301,886,808,752,169
20160401,1153,831,881,247
20160501,1499,801,1030,254
20160601,1281,854,874,255
20160701,1580,730,1100,380
20160801,1690,530,1260,290
20160901,1120,870,860,270
20161001,1160,900,1010,210
